Data;Atsak_;IP adresas;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas aikšt_je priešais Filharmonij_?;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas K. Sirvydo skvere?
27/09/15 09:31;---;78.157.85.26;Pritariu;Nepritariu
27/09/15 09:24;---;79.133.233.127;Nepritariu;Nepritariu
27/09/15 09:15;---;5.20.126.127;Nepritariu;Pritariu
27/09/15 08:54;---;86.38.220.33;Nepritariu;Pritariu
27/09/15 08:48;---;84.240.25.75;Pritariu;Nepritariu
27/09/15 08:43;---;78.60.245.49;Nepritariu;Pritariu
27/09/15 08:21;---;78.157.93.117;Pritariu;Neturiu nuomon_s
27/09/15 08:20;---;86.38.220.130;;Pritariu
27/09/15 07:29;---;188.69.194.55;Pritariu;Nepritariu
27/09/15 07:28;---;78.56.2.164;Nepritariu;Pritariu
27/09/15 07:12;---;193.41.197.246;Pritariu;Nepritariu
27/09/15 06:51;---;5.20.146.15;Pritariu;Nepritariu
27/09/15 06:37;---;78.60.18.202;Nepritariu;Nepritariu
27/09/15 04:42;---;78.60.34.29;Nepritariu;Nepritariu
27/09/15 02:33;---;78.56.206.242;Pritariu;Neturiu nuomon_s
26/09/15 23:42;---;78.56.193.173;Pritariu;Nepritariu
26/09/15 23:40;---;78.56.173.217;Pritariu;Nepritariu
26/09/15 23:09;---;89.116.50.157;Pritariu;Nepritariu
26/09/15 23:06;---;78.61.246.169;Pritariu;Nepritariu
26/09/15 23:02;---;78.61.241.138;Nepritariu;Nepritariu
26/09/15 22:45;---;188.69.196.6;Nepritariu;Nepritariu
26/09/15 22:39;---;84.240.11.72;Nepritariu;Nepritariu
26/09/15 22:37;---;78.56.248.52;Pritariu;Neturiu nuomon_s
26/09/15 22:34;---;78.56.174.193;Nepritariu;Pritariu
26/09/15 22:23;---;78.60.85.8;Nepritariu;Pritariu
26/09/15 22:11;---;95.173.36.187;Pritariu;Pritariu
26/09/15 22:03;---;89.117.248.161;Nepritariu;Pritariu
26/09/15 21:53;---;78.60.204.82;Pritariu;Nepritariu
26/09/15 21:50;---;78.56.29.72;Nepritariu;Pritariu
26/09/15 21:49;---;78.60.131.215;Pritariu;Nepritariu
26/09/15 21:46;---;78.60.182.184;Pritariu;Pritariu
